ypred_proba_test,ypred_bin_test
0.48796724429343485,0
0.3657061750684269,0
0.40226729444401854,0
0.38520663844492703,0
0.2935160695592928,0
0.33715590971577286,0
0.44652561001867985,0
0.5295144144862114,1
0.5722149432003536,1
0.5100508851259543,1
0.39477071660962454,0
0.410202023213179,0
0.521059174319216,1
0.5809168839239576,1
0.4432921116105433,0
0.4413418714219103,0
0.3293696680259241,0
0.39518992060918673,0
0.5969175597422065,1
0.4002025457140387,0
0.5321103428750495,1
0.4037268938573964,0
0.6356796999706682,1
0.35195638381993394,0
0.5252934997563007,1
0.38410850785947315,0
0.3806603210258462,0
0.6280490536024892,1
0.4439281442006946,0
0.520420871387089,1
0.5174980650584062,1
0.5135131880307444,1
0.5335984131813604,1
0.44592482095188096,0
0.43333551738173204,0
0.47607685461421706,0
0.5351174072061179,1
0.4695820710515763,0
0.45857601707067097,0
0.46789158432024863,0
0.490348532352972,0
0.4700313704610739,0
0.3935966897853054,0
0.45483631573241506,0
0.5348420826107412,1
0.47994518841233846,0
0.5189959201915635,1
0.5072794268063989,1
0.5244382109843871,1
0.43188464484415273,0
0.3867643593535238,0
0.6248556909515903,1
0.5482778788712878,1
0.5164203010072893,1
0.5729216435205519,1
0.5148408997804103,1
0.4720257658452167,0
0.5375916635112178,1
0.35302377926938094,0
0.6016260103680519,1
0.4176325511500524,0
0.4140297435061447,0
0.5749636594807608,1
0.5317942767494565,1
0.624328820700295,1
0.44082437391294943,0
0.5225152073911192,1
0.4613165644664064,0
0.4338428765853508,0
0.47853348862208445,0
0.5244322524867296,1
0.7132549485291894,1
0.3487703899548359,0
0.5204055799289659,1
0.4788272423342801,0
0.47859216943340444,0
0.4168035087200866,0
0.411660227754991,0
0.4189836063911757,0
0.39878394214117213,0
0.477709126872081,0
0.5184328970970582,1
0.6521298950705284,1
0.5132969756084652,1
0.49190820999455426,0
0.5991493087355065,1
0.3045713610767885,0
0.5630574096792224,1
0.5122228558699077,1
0.32375354707363824,0
0.5457384998864051,1
0.5178075719834577,1
0.6348038601597998,1
0.4895951686537398,0
0.5237573547712974,1
0.5072960945589767,1
0.38520400728822496,0
0.5858461449028989,1
0.44762786641870933,0
0.4636082648887785,0
0.6031336028435972,1
0.5279158343435932,1
0.37631655811361514,0
0.5617021293041866,1
0.4425642448527445,0
0.5109447631003741,1
0.5504675606958582,1
0.4732244178297599,0
0.4282329136338563,0
0.4709966611359426,0
0.5149086818142674,1
0.330775167626016,0
0.4105312086079585,0
0.4947692069484312,0
0.45566194690377165,0
0.5030883797461003,1
0.4416032565074881,0
0.5023471161204841,1
0.5524698404582155,1
0.6530710647225682,1
0.4564045855508575,0
0.6938304348777116,1
0.41762433170456864,0
0.6102492896207818,1
0.6096184486521141,1
0.5131534075565457,1
0.5407674827397507,1
0.5066070005812601,1
0.5194265457210975,1
0.17685686065648956,0
0.45205778246576506,0
